75
639	421	-53
670	421	-69
633	505	-27
613	122	19
693	139	72
693	150	-20
577	155	74
577	122	-49
573	155	62
573	200	10
398	150	-22
613	124	44
269	736	17
597	733	-54
596	846	58
660	638	49
660	659	-7
681	632	-73
597	729	43
745	539	-75
745	623	-32
733	539	-60
644	124	-44
644	132	9
506	760	57
506	727	-49
602	733	8
506	811	-16
515	811	-8
570	821	-60
602	727	71
692	150	25
640	727	61
692	135	-60
640	659	-61
515	821	35
429	221	45
468	221	9
429	228	-4
577	201	-66
577	200	71
427	225	-12
427	228	-52
586	846	10
655	132	58
586	821	36
696	632	69
696	623	-19
655	135	62
476	200	-57
633	522	-13
733	522	26
603	201	20
293	748	-51
293	760	-61
398	162	-42
400	162	-47
400	202	54
403	202	39
403	225	10
476	202	-3
563	727	-53
563	729	-1
603	208	1
609	208	2
468	202	-6
609	301	45
620	301	-24
620	342	-18
269	745	51
270	745	13
270	748	6
662	342	55
662	348	12
670	348	-40
